plotWaterfallLoop.id,plotWaterfallLoop.rn,plotWaterfallLoop.coef,plotWaterfallLoop.xDecompAgg,plotWaterfallLoop.xDecompPerc,plotWaterfallLoop.start,plotWaterfallLoop.end,plotWaterfallLoop.sign
1,events,0,0,0,1,1,Positive
2,season,0.3383131107524668,123852.58004835804,4.2933955531131623e-4,1,0.9995706604446887,Positive
3,print_S,45438.02137489958,1094480.6474629291,0.003794057695811442,0.9995706604446887,0.9957766027488772,Positive
4,search_S,40481.392946411615,1991874.025855692,0.006904905074752067,0.9957766027488772,0.9888716976741252,Positive
5,facebook_S,103468.21369186074,3592419.098558951,0.012453253841502249,0.9888716976741252,0.9764184438326229,Positive
6,ooh_S,201182.50138981617,5210080.550615911,0.01806093717114477,0.9764184438326229,0.9583575066614781,Positive
7,holiday,0.8561054882910168,5958074.49518572,0.02065388588009996,0.9583575066614781,0.9377036207813783,Positive
8,tv_S,614038.8757931258,6363408.55369112,0.02205899140445231,0.9377036207813783,0.9156446293769259,Positive
9,newsletter,489231.24393316807,6777865.5159588475,0.02349572181254092,0.9156446293769259,0.8921489075643849,Positive
10,trend,0.17095528625604112,47834601.94328298,0.16582041907245038,0.8921489075643849,0.7263284884919345,Positive
11,(Intercept),435802.7989311598,68421039.43219209,0.23718406699550085,0.7263284884919345,0.4891444214964338,Positive
12,competitor_sales_B,0.161958962240827,141104628.88672507,0.4891444214964338,0.4891444214964338,0,Positive
